CREATEDAT,ID,SKIPID
2022-02-08 05:07:09.000,93072,1794496
2022-02-09 19:45:54.000,93607,1804035
2022-02-16 16:49:48.000,95358,1806761
2022-02-04 18:20:58.000,92289,1813062
2022-02-07 23:35:34.000,92958,1815795
2022-02-23 17:17:14.000,97286,1816988
2022-02-05 18:56:51.000,92485,1817881
2022-02-12 04:45:03.000,94311,1822145
2022-02-08 18:32:13.000,93206,1825721
2022-02-25 22:37:26.000,98129,1827759
2022-02-08 01:38:21.000,92988,1827626
2022-02-08 17:01:28.000,93151,1829727
2022-02-12 13:47:03.000,94347,1833213
2022-02-10 00:52:46.000,93749,1835503
2022-02-03 20:06:16.000,92092,1788659
2022-02-07 17:15:04.000,92879,1788643
2022-02-16 01:29:08.000,95178,1790131
2022-02-08 01:36:13.000,92987,1799242
2022-02-10 15:27:49.000,93888,1802651
2022-02-08 22:08:16.000,93303,1802316
2022-02-03 01:15:29.000,91849,1805239
2022-02-08 17:36:00.000,93170,1807949
2022-02-06 21:37:07.000,92710,1822615
2022-02-07 15:37:21.000,92868,1824934
2022-02-10 18:49:53.000,93971,1826434
2022-02-22 15:14:08.000,96773,1830559
2022-02-10 21:20:00.000,94008,1830554
2022-02-21 17:50:03.000,96540,1835143
2022-02-23 14:37:36.000,97226,1842400
2022-02-15 00:41:05.000,94815,1792568
2022-02-01 17:30:34.000,91287,1792543
2022-02-12 19:44:48.000,94410,1793261
2022-02-07 13:43:26.000,92854,1790654
2022-02-15 20:36:54.000,95070,1798561
2022-02-13 21:07:41.000,94584,1805624
2022-02-05 20:56:35.000,92510,1817882
2022-02-05 23:26:33.000,92546,1819641
2022-02-25 22:41:34.000,98133,1821042
2022-02-25 02:37:00.000,97945,1826176
2022-02-08 00:32:23.000,92971,1827194
2022-02-25 16:20:15.000,98046,1830509
2022-02-12 04:44:44.000,94310,1835876
2022-01-31 16:42:46.000,90962,1786646
2022-02-16 06:41:17.000,95274,1799425
2022-02-03 00:56:38.000,91841,1800171
2022-02-15 09:15:16.000,94886,1828488
2022-02-14 13:50:58.000,94682,1787655
2022-02-02 02:51:54.000,91535,1798562
2022-02-04 02:02:11.000,92166,1805243
2022-02-06 10:02:46.000,92617,1806760
2022-02-04 23:53:47.000,92362,1815644
2022-02-12 18:41:34.000,94401,1818161
2022-02-09 00:39:58.000,93357,1822146
2022-02-23 14:32:54.000,97222,1839631
2022-02-08 18:59:41.000,93223,1796176
2022-02-03 17:09:29.000,92018,1807309
2022-02-25 01:07:17.000,97915,1819354
2022-02-24 13:31:15.000,97686,1823127
2022-02-14 00:36:08.000,94625,1833117
2022-02-24 05:35:08.000,97642,1839227
2022-02-10 00:00:17.000,93720,1843017
2022-02-16 20:49:06.000,95440,1802574
2022-02-02 19:10:11.000,91721,1802838
2022-02-04 20:39:24.000,92323,1815010
2022-02-05 23:26:20.000,92545,1819640
2022-02-11 02:24:02.000,94078,1819343
2022-02-16 18:38:42.000,95402,1824936
2022-02-16 18:55:03.000,95406,1825233
2022-02-08 19:11:22.000,93231,1830977
2022-02-17 18:39:13.000,95745,1834690
2021-10-31 07:31:14.000,72149,1336488
2021-11-07 21:22:14.000,73814,1336489
2021-11-07 18:17:56.000,73784,1336257
2021-11-09 22:05:45.000,74303,1336361
2021-10-25 11:41:10.000,70855,1337005
2021-10-25 12:14:34.000,70856,1337061
2021-10-31 13:09:16.000,72155,1337246
2021-11-09 00:32:01.000,74026,1340272
2021-11-09 15:25:47.000,74145,1342260
2021-11-10 14:45:30.000,74494,1342300
2021-11-02 14:30:09.000,72601,1343123
2021-11-09 18:32:14.000,74246,1345029
